question,answer,abs_id,Inquiry Type,Extra Condition,Investigation Target,biocategory,biosubcategory
"In the context of cellular responses to oxidative stress, does protein kinase C zeta (PKCzeta) play a role in the induction of the transcription factor nuclear factor kappa B (NF-kappaB) through the activation of protein kinase D (PKD)?",No,PMID:15024053,Normal,Natural,Single,Human Diseases,Cancer: overview
"In the context of autophagy-mediated turnover in Arabidopsis thaliana, is the ATG11 protein required for the synthesis of ATG8-phosphatidylethanolamine adducts that play a central role in the assembly of autophagic vesicles?",No,PMID:24563201,Normal,Natural,Single,Cellular Processes,Transport and catabolism
"In the progression of adenocarcinoma of the lung, is epidermal growth factor receptor (EGFR) gene amplification detectable in atypical adenomatous hyperplasia (AAH) when examined by chromogenic in situ hybridisation (CISH) using paraffin wax embedded tissues?",No,PMID:16189154,Normal,Natural,Single,Human Diseases,Cancer: specific types
"In the context of indole diterpene biosynthesis in Penicillium paxilli, can the enzyme encoded by the paxQ gene, a cytochrome P450 monooxygenase, catalyze the conversion of beta-PC-M6 into paxilline?",No,PMID:17428785,Normal,Natural,Single,Metabolism,Biosynthesis of other secondary metabolites
"In the context of Yersinia infection, does the virulence factor YopJ inhibit the p38 signaling pathway by blocking the phosphorylation and activation of mitogen-activated protein kinase (MAPK) kinases (MKKs)?",Yes,PMID:10489373,Normal,Natural,Interaction,Human Diseases,Infectious disease: bacterial
"In immortalized human corneal epithelial (HCE) cells, does the expression of C-terminus truncated Blood vessel epicardial substance (t-Bves) result in decreased membrane localization of the y-box transcription factor ZONAB/DbpA compared to cells expressing full-length Bves?",Yes,PMID:21283798,Normal,Natural,Single,Cellular Processes,Cellular community - eukaryotes
"In the context of Epstein-Barr virus (EBV) infection, does the BGLF4 protein kinase enhance the recruitment of active interferon regulatory factor 3 (IRF3) to the IRF3-responsive element within the interferon-beta (IFN-beta) promoter region?",No,PMID:19052084,Normal,Natural,Interaction,Metabolism,Metabolism of other amino acids
"In the context of C-1027 biosynthesis, does the two-component, flavin adenine dinucleotide (FAD)-dependent monooxygenase SgcC have the ability to accept 3-hydroxy-beta-tyrosyl-S-SgcC2 as a substrate for its enzymatic activity?",No,PMID:18426211,Normal,Natural,Interaction,Metabolism,Metabolism of terpenoids and polyketides
"In HCT116 colorectal carcinoma cells treated with cisplatin, does the induction of apoptosis by the pro-apoptotic protein Siva-1 require the presence of functional p53 protein?",No,PMID:19240372,Normal,Natural,Function,Cellular Processes,Cell growth and death
"In the context of YopH, a protein tyrosine phosphatase (PTP) from pathogenic Yersinia species, is the carboxy-terminal PTP domain alone sufficient for the recognition of substrates, such as p130Cas and paxillin, by YopH within host mammalian cells?",No,PMID:9767593,Normal,Natural,Interaction,Metabolism,Global and overview maps
"In the context of the Wood-Ljungdahl pathway of anaerobic CO(2) fixation, does carbon monoxide (CO) inhibit acetyl-CoA synthesis by specifically impeding the methyl transfer reaction between the methylated corrinoid iron-sulfur protein (CFeSP) and the nickel iron-sulfur cluster of acetyl-CoA synthase (ACS)?",Yes,PMID:11827525,Normal,Natural,Function,Metabolism,Energy metabolism
"In the context of Shigella type III effector OspF interaction with host cell signaling pathways, does OspF possess the ability to irreversibly remove phosphate groups specifically from the phosphothreonine residue in the activation loop of mitogen-activated protein kinases (MAPKs)?",Yes,PMID:17303758,Normal,Natural,Single,Human Diseases,Infectious disease: bacterial
"In the context of immune cells such as macrophages, does the accumulation of cholesterol lead to a reduction in Toll-like receptor (TLR) signalling activity?",No,PMID:25614320,Normal,Natural,Interaction,Human Diseases,Cardiovascular disease
"In cells infected with herpes simplex virus 1 (HSV-1), is the observed disappearance of Jak1 kinase and Stat2 proteins entirely independent of the function of the virion host shutoff protein, which is the product of the viral U(L)41 gene?",No,PMID:15047834,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of human cytomegalovirus (HCMV) infection and the expression of the viral chemokine receptor US28, does the activation of beta-catenin occur through the classical Wnt/Frizzled signaling pathway?",No,PMID:23145028,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of vascular dysfunction associated with conditions such as hypertension, ischaemic reperfusion injury, and diabetes, does the presence of oxidized 6R-L-erythro-5,6,7,8-tetrahydrobiopterin (BH4) result in an increased formation of nitric oxide (NO) by decoupled nitric oxide synthase (NOS) enzymes?",No,PMID:21867484,Normal,Natural,Interaction,Metabolism,Metabolism of cofactors and vitamins
"In the context of Kaposi's sarcoma-associated herpesvirus (KSHV) infection, are the Src homology 2 (SH2) binding motifs located within the cytoplasmic tail of the K1 protein essential for K1's capacity to activate the phosphatidylinositol-3'-OH-kinase (PI3K) pathway in endothelial cells?",Yes,PMID:16585191,Normal,Natural,Interaction,Human Diseases,Infectious disease: viral
"In the context of enterohemorrhagic and enteropathogenic Escherichia coli (EHEC and EPEC) infection, does the type III secretion system (T3SS) effector protein NleF facilitate an increase in the rate of intracellular trafficking of the temperature-sensitive vesicular stomatitis virus glycoprotein (tsVSVG) from the endoplasmic reticulum to the Golgi apparatus?",No,PMID:23434013,Normal,Natural,Function,Human Diseases,Infectious disease: bacterial
"In the context of Yaba-like disease virus (YLDV) 7L receptor interactions, do murine CC chemokines exhibit a high binding affinity for the 7L receptor, a seven-transmembrane G protein-coupled receptor with homology to human CC chemokine receptor 8 (CCR8)?",No,PMID:16528029,Normal,Natural,Interaction,Environmental Information Processing,Signaling molecules and interaction
"In the context of the ula regulon in Escherichia coli, do fluctuations in cyclic AMP (cAMP)-cAMP receptor protein (CRP) levels have a regulatory impact on the expression of both the ulaG and ulaABCDEF operons?",No,PMID:14996803,Normal,Natural,Single,Metabolism,Carbohydrate metabolism
"In the context of polyamine metabolism in Trypanosoma cruzi, does this parasite possess the ability to synthesize putrescine endogenously?",No,PMID:12750367,Normal,Natural,Single,Metabolism,Metabolism of other amino acids
"In myometrial cells, does oxytocin (OXT) induce the dephosphorylation of eukaryotic translation factor eEF2 through activation of the p38 signaling pathway?",No,PMID:18655881,Normal,Natural,Single,Organismal Systems,Endocrine system
"In human mononuclear phagocytes, does infection with Leishmania donovani result in impaired gamma interferon-mediated tyrosine phosphorylation of the Janus kinase Jak2?",Yes,PMID:7591091,Normal,Natural,Single,Human Diseases,Infectious disease: parasitic
"In the context of Shigella flexneri entry into host cells, is the phosphatase activity of the type III secreted effector IpgD required for the recruitment of the cytohesin guanine nucleotide exchange factor ARF nucleotide binding site opener (ARNO) to bacterial entry sites?",Yes,PMID:25736891,Normal,Natural,Interaction,Human Diseases,Infectious disease: bacterial
"In dopamine neurons from ovariectomized female guinea pigs, does 17beta-estradiol (E(2)) rapidly facilitate the coupling of micro-opioid receptors to G-protein-gated inwardly rectifying K(+) (GIRK) channels, as measured through whole-cell patch recording in hypothalamic slices?",No,PMID:14993035,Normal,Natural,Interaction,Organismal Systems,Endocrine system
"In the context of macrophage activation by lipopolysaccharide (LPS), does the p38 mitogen-activated protein (MAP) kinase play a role in promoting the induction of interleukin-12 (IL-12) p40 messenger RNA (mRNA)?",Yes,PMID:10586030,Normal,Natural,Single,Human Diseases,Infectious disease: parasitic
"In mammalian cells, does Host Cell Factor 1 (HCF-1) function as a repressor of the expression of target genes shared by the transcription factor FOXO and the deacetylase SIRT1?",Yes,PMID:21909281,Normal,Natural,Single,Organismal Systems,Aging
"In the context of Sialyl-Tn antigen biosynthesis, when both Tn and T antigens are present, does the human sialyltransferase ST6GalNAc-I exhibit a preference for acting on the T antigen over the Tn antigen?",No,PMID:15466199,Normal,Natural,Interaction,Metabolism,Glycan biosynthesis and metabolism
"In the context of chronic hepatitis B virus (HBV) infection, does the presence of hepatitis B surface antigen (HBsAg) impair the phosphorylation of c-Jun N-terminal kinase (JNK)-1/2 in monocytes/macrophages stimulated with the Toll-like receptor 2 (TLR2) ligand Pam3csk4?",Yes,PMID:23585678,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In cells co-expressing the human cytomegalovirus (HCMV) US27 gene product and the endogenous human chemokine receptor CXCR4, does the presence of US27 lead to a significant decrease in CXCR4 expression levels as measured through quantitative RT-PCR, flow cytometry, western blot, and immunofluorescence microscopy?",No,PMID:23490053,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of fatty acid metabolism, does the recombinant human CYP2U1 protein, expressed in baculovirus-infected Sf9 insect cells, possess the ability to catalyze the hydroxylation of lauric acid, a medium-chain fatty acid?",No,PMID:14660610,Normal,Natural,Function,Metabolism,Lipid metabolism
"In the context of energy balance regulation, does insulin have an inhibitory effect on the activity of AMP-activated protein kinase (AMPK) in various regions of the hypothalamus?",Yes,PMID:15058305,Normal,Natural,Single,Organismal Systems,Endocrine system
"In the context of migrating cells, does microtubule (MT) polymerization subadjacent to the cell cortex facilitate the activation of guanine exchange factor H1 (GEF-H1), a RhoA activator involved in integrating microtubule and actin dynamics?",No,PMID:31420453,Normal,Natural,Single,,
"In the context of synaptic transmission, can a moderate elevation of postsynaptic Ca2+ to a submicromolar range alone induce the release of endocannabinoids, independent of the activation of postsynaptic Gq/11-coupled receptors?",No,PMID:16085309,Normal,Natural,Function,Organismal Systems,Nervous system
"In the context of the interaction between the HPV-16 E7 protein and the TATA-binding protein (TBP), does casein kinase II (CK2) phosphorylation of E7 enhance its ability to inhibit TBP's DNA binding activity?",Yes,PMID:11968006,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of Salmonella typhimurium infection, does the secreted effector protein AvrA exhibit inhibitory effects on the NF-kappaB signaling pathway in both transgenic Drosophila and murine models?",Yes,PMID:18407067,Normal,Natural,Interaction,Human Diseases,Infectious disease: bacterial
"In the context of Yersinia enterocolitica infection, do the Yop effector proteins YopE and YopT exhibit activating effects on Rho GTPases within the host cell cytosol?",No,PMID:15060067,Normal,Natural,Single,Human Diseases,Infectious disease: bacterial
"In the context of Methanosphaera stadtmanae's energy metabolism, does this methanogenic archaeon possess the ability to oxidize methanol to carbon dioxide (CO2)?",No,PMID:16385054,Normal,Natural,Function,Metabolism,Energy metabolism
"In the context of PRG3's role in p53-dependent apoptosis, is the putative oxidoreductase activity of PRG3 necessary for its ability to induce apoptosis in human colon cancer cells?",No,PMID:12135761,Normal,Natural,Function,Cellular Processes,Cell growth and death
"In the context of the DesK-DesR two-component signal transduction system regulating the des gene coding for the Delta5-lipid desaturase from Bacillus subtilis, do unsaturated fatty acids (UFAs) function as positive signalling molecules that enhance des transcription in response to low temperatures?",No,PMID:11285232,Normal,Natural,Single,Environmental Information Processing,Signal transduction
"In the context of the EryCIII EryCII complex involved in the biosynthesis of erythromycin D, does the EryCII subunit engage in direct interactions with the putative macrolide binding site of the glycosyltransferase EryCIII?",No,PMID:22056329,Normal,Natural,Single,Metabolism,Metabolism of terpenoids and polyketides
"In the context of Staphylococcus aureus infection, does the staphylococcal superantigen-like protein 5 (SSL5) interfere with the binding of soluble P-selectin/Fc chimera to Chinese hamster ovary cells stably expressing P-selectin glycoprotein ligand-1 (CHO-PSGL-1)?",Yes,PMID:17132726,Normal,Natural,Interaction,Human Diseases,Infectious disease: bacterial
"In the context of trypanothione synthesis in Crithidia fasciculata, does the enzyme glutathionylspermidine synthetase (GspS) possess the ability to synthesize trypanothione from glutathione (GSH) and spermidine?",No,PMID:12049631,Normal,Natural,Single,Metabolism,Metabolism of other amino acids
"In the context of hepatic gluconeogenesis regulation, does the hormone glucagon lead to an increase in the phosphorylation of the transcriptional regulator Transducer of Regulated CREB activity 2 (TORC2)?",No,PMID:16479585,Normal,Natural,Single,Environmental Information Processing,Signal transduction
"In the context of synaptic transmission, can an elevation in postsynaptic Ca2+ levels to a submicromolar range alone induce the release of endocannabinoids, independent of the activation of postsynaptic Gq/11-coupled receptors?",No,PMID:16085309,Normal,Natural,Function,Organismal Systems,Nervous system
"In the context of malaria parasite mitochondrial lipoylation, can the lipoate ligase 1 (LipL1) enzyme independently facilitate the lipoylation of the E2 subunit of alpha-ketoglutarate dehydrogenase (KDH) without requiring the presence of other proteins?",No,PMID:25116855,Normal,Natural,Single,Metabolism,Metabolism of cofactors and vitamins
"In the context of the astaxanthin biosynthetic pathway in Agrobacterium aurantiacum, do the crtW and crtZ gene products inhibit the production of various presumed intermediates of astaxanthin, such as adonixanthin, phoenicoxanthin (adonirubin), canthaxanthin, 3'-hydroxyechinenone, and 3-hydroxyechinenone?",No,PMID:7592436,Normal,Natural,Function,Metabolism,Metabolism of terpenoids and polyketides
"In the context of Alzheimer's disease, do amyloid-beta (Abeta) oligomers cause a localized depletion of spines in the somatodendritic compartment of differentiated primary hippocampal neurons, specifically in regions where endogenous Tau protein has been missorted?",Yes,PMID:20826658,Normal,Natural,Function,Human Diseases,Neurodegenerative disease
"In the context of NPP6 enzymatic activity, does NPP6 exhibit the ability to hydrolyze the classical nucleotide phosphodiesterase substrate, p-nitrophenyl thymidine 5'-monophosphate?",No,PMID:15788404,Normal,Natural,Function,Metabolism,Lipid metabolism
"In the context of bovine papillomavirus type 1 E6 (BE6) protein interactions, are the BE6-binding LXXLL peptide sequences (LD motifs) on the cellular protein paxillin necessary for BE6 to induce anchorage-independent transformation in cells?",Yes,PMID:18385245,Normal,Natural,Function,Human Diseases,Cancer: overview
"In the context of (+)-abscisic acid (ABA) 8'-hydroxylase activity, can NADH serve as an effective cofactor to support the enzyme's catalytic function in the oxidative degradation of (+)-ABA, particularly when compared to NADPH?",No,PMID:9808729,Normal,Natural,Single,Metabolism,Metabolism of terpenoids and polyketides
"In the context of the biosynthesis of the enediyne moiety of the antitumor natural product calicheamicin, does the conserved Arg(37) residue within the putative thioesterase CalE7 play a crucial role in facilitating the hydrolysis of the thioester bond?",Yes,PMID:19357082,Normal,Natural,Function,Metabolism,Metabolism of terpenoids and polyketides
"In the context of chorismate metabolism, does 4-amino-4-deoxychorismate (ADC) synthase, an anthranilate synthase component I (ASI) homologue, possess the pyruvate lyase activity that is inherent in ASI?",No,PMID:18182490,Normal,Natural,Single,Metabolism,Metabolism of terpenoids and polyketides
"In vascular smooth muscle cells (VSMCs), does progesterone (P4) lead to an increase in p27 phosphorylation at Ser10 through the activation of the kinase interacting stathmin (KIS) pathway?",Yes,PMID:27510838,Normal,Natural,Single,Human Diseases,Cancer: overview
"In the context of UDP-L-rhamnose biosynthesis, does the N-terminal region of the RHM2 protein (RHM2-N) exhibit inhibited enzymatic activity in the presence of UDP?",Yes,PMID:17190829,Normal,Natural,Single,Metabolism,Carbohydrate metabolism
"In the context of cell cycle regulation, does the mammalian CDC6 protein exhibit the ability to interact with Cyclin E kinase complexes, similar to its interaction with the active Cyclin A/CDK2 complex?",No,PMID:9889196,Normal,Natural,Interaction,Cellular Processes,Cell growth and death
"In the context of human pathogenic Yersinia species infection, does the YopE virulence effector interfere with the host cell's ability to undergo phagocytosis by disrupting actin regulation of Rho GTPases?",Yes,PMID:16164968,Normal,Natural,Function,Metabolism,Global and overview maps
"In the context of the Wnt/beta-catenin signaling pathway, does the BMP and activin membrane-bound inhibitor (BAMBI) act to inhibit the expression of the cell cycle progression-related genes c-myc and cyclin D1?",No,PMID:18838381,Normal,Natural,Single,Environmental Information Processing,Signal transduction
"In the context of human papillomavirus (HPV) infection and the development of cervical cancer, do the interactions between the viral oncoproteins E6 and E7 and the cellular tumor suppressor gene products p53 and Rb lead to the stimulation of cellular proliferation and the inhibition of apoptosis?",Yes,PMID:11325599,Normal,Natural,Function,Human Diseases,Infectious disease: viral
"In the context of transforming growth factor-beta1 (TGF-beta1)-induced epithelial-mesenchymal transition (EMT) in HK-2 cells, does the regulatory peptide apelin exert an inhibitory effect on the TGF-beta1-mediated downregulation of E-cadherin expression?",Yes,PMID:25164121,Normal,Natural,Interaction,Environmental Information Processing,Signal transduction
"In the context of bovine ovarian follicles, does tumor necrosis factor-alpha (TNFalpha) treatment lead to a decrease in the specific binding of 125I-insulin-like growth factor-I (IGF-I) to thecal cells obtained from large ovarian follicles?",Yes,PMID:11408113,Normal,Natural,Interaction,Organismal Systems,Endocrine system
"In the context of lipid-laden macrophage foam cell formation, does the polyphenol-rich fraction (PHC) derived from commonly consumed spices and herbs suppress the interaction between nuclear factor kappa B (NK-kappaB) and DNA in macrophages?",Yes,PMID:25869517,Normal,Natural,Interaction,Human Diseases,Cardiovascular disease
"In the context of Hepatitis C virus (HCV) infection, does the non-structural protein NS5A inhibit the transcriptional transactivation activity of the tumor suppressor protein p53 in a dose-dependent manner?",Yes,PMID:12101418,Normal,Natural,Single,Human Diseases,Cancer: overview
"In Escherichia coli, does the transcription of the divergent operons cusCFB and cusRS occur independently of the regulatory action of CusR, a copper-responsive factor, upon exposure to external copper?",No,PMID:15773991,Normal,Natural,Single,Environmental Information Processing,Signal transduction
"In myometrial cells, does oxytocin (OXT) induce the dephosphorylation of eukaryotic translation factor eEF2 through the mechanistic target of rapamycin (mTOR) pathway, as part of its novel trophic function in regulating protein synthesis?",No,PMID:18655881,Normal,Natural,Single,Organismal Systems,Endocrine system
"In the context of Kaposi's sarcoma-associated herpesvirus (KSHV) infection, does the expression of the K1 protein in primary human umbilical vein endothelial cells lead to an increase in the levels of secreted vascular endothelial growth factor (VEGF)?",Yes,PMID:16585191,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of spindle microtubule dynamics during mitosis, does the interaction between Kif18b and the kinesin-13 motor MCAK undergo positive regulation by Aurora kinases through the phosphorylation of MCAK?",No,PMID:21820309,Normal,Natural,Interaction,,
"In the context of the bacterium Alcaligenes defragrans NKNTAU metabolizing taurine with nitrate as the terminal electron acceptor, does the enzyme sulphoacetaldehyde acetyltransferase (Xsc) require the addition of phosphate for its catalytic activity, specifically in the conversion of 2-sulphoacetaldehyde into sulphite and acetyl phosphate?",Yes,PMID:12358600,Normal,Natural,Single,Metabolism,Metabolism of other amino acids
"In the context of cellular responses to oxidative stress, does the deubiquitination of Forkhead box O (FOXO) transcription factors by the deubiquitinating enzyme USP7/HAUSP have an impact on the protein half-life of FOXO?",No,PMID:16964248,Normal,Natural,Single,Environmental Information Processing,Signal transduction
"In the enzymatic conversion of p-coumarate to p-hydroxybenzoate in cell-free extracts of Lithospermum erythrorhizon Sieb. et Zucc. cell cultures, does the presence of Uridine-5'-diphosphoglucose have an enhancing effect on the formation of p-hydroxybenzoate?",No,PMID:12232327,Normal,Natural,Function,Metabolism,Metabolism of cofactors and vitamins
"In the context of parathyroid hormone (PTH) regulation of the immediate early gene c-fos in osteoblastic cells, can the coexpression of a dominant CREB repressor, KCREB (killer CREB), suppress the PTH-mediated induction of c-fos?",Yes,PMID:8810350,Normal,Natural,Single,Organismal Systems,Endocrine system
"In the context of human papillomavirus (HPV) 16 E6 protein expression, does E6 induce the activation of caspase 8 in cells undergoing apoptosis via the Fas pathway?",No,PMID:15073179,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In BJAB cells, does the expression of the K3 gene, a viral gene encoded by Kaposi's sarcoma-associated herpesvirus (KSHV), result in a reduction of intercellular adhesion molecule 1 (ICAM-1) surface expression?",No,PMID:11413168,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of T helper cell differentiation and function, does interleukin 4 (IL-4) have a positive regulatory effect on the production of interleukin 17 (IL-17) by T helper cells during the effector phase?",No,PMID:16200068,Normal,Natural,Single,Organismal Systems,Immune system
"In the context of Salmonella enterica infection, where the type III secretion system (TTSS) delivers effector proteins to intestinal epithelial cells, does the AvrA effector protein interfere with the activation of the NF-kappaB pathway that is induced by bacterial infection?",No,PMID:19779561,Normal,Natural,Single,Human Diseases,Infectious disease: bacterial
"In the context of endocannabinoid (eCB)-dependent synaptic depression, is presynaptic cyclic adenosine monophosphate (cAMP)/protein kinase A (PKA) signaling a necessary component for the induction of short-term depression of inhibitory transmission?",No,PMID:17553427,Normal,Natural,Function,Organismal Systems,Nervous system
"In the context of acyl/alkyl dihydroxyacetone phosphate (DHAP) reductase activity in Saccharomyces cerevisiae, do divalent cations have an inhibitory effect on the enzymatic reaction that reduces hexadecyl DHAP to its corresponding product using NADPH as a cofactor?",Yes,PMID:1512203,Normal,Natural,Single,Metabolism,Lipid metabolism
"In the context of the two-partner secretion (TPS) pathway, does the cleavage of the FHA pro-protein (FhaB) to form filamentous haemagglutinin (FHA) serve as the primary mechanism by which FHA is released from the cell surface of Bordetella species?",No,PMID:16999837,Normal,Natural,Interaction,Human Diseases,Infectious disease: bacterial
"In the context of human T-lymphotropic virus type 1 (HTLV-1) infection, are cell-free viral particles capable of efficiently establishing productive infections in dendritic cells (DCs)?",No,PMID:27334587,Normal,Natural,Function,Human Diseases,Infectious disease: viral
"In the context of Notch signaling modulation by O-fucose glycans, will Jagged1-induced Notch signaling be inhibited in the absence of the addition of a beta1,4 galactose by beta4GalT-1 to the N-acetylglucosamine (GlcNAc) residue added by the enzyme fringe?",No,PMID:12417415,Normal,Natural,Function,Environmental Information Processing,Signal transduction
"In the context of peripheral taste physiology, are 5-HT(3) receptors specifically expressed in the taste receptor cells (TRCs) of rat posterior taste buds, as determined through techniques such as RT-PCR and immunocytochemistry?",No,PMID:14715493,Normal,Natural,Single,Organismal Systems,Sensory system
"In mouse neuronal mitochondria, does the activation of mitochondrial type-1 cannabinoid receptors (mtCB(1)) by in situ endocannabinoids lead to an increase in respiration?",No,PMID:22388959,Normal,Natural,Function,Organismal Systems,Nervous system
"In the context of Trypanosoma brucei's deoxyribonucleotide synthesis, does glutathione serve as a direct reductant for the parasite's ribonucleotide reductase enzyme?",No,PMID:11150302,Normal,Natural,Single,Metabolism,Metabolism of other amino acids
"In the context of tamoxifen-resistant (TAM-R) breast cancer cells, does the translocation of estrogen G-protein coupled receptor 30 (GPR30) to the cell surface result in a reduction in cyclic adenosine monophosphate (cAMP) generation?",Yes,PMID:24289103,Normal,Natural,Single,Human Diseases,Drug resistance: antineoplastic
"In the context of Yersinia infection, does the type III secreted effector protein YopK inhibit cellular recognition of the type III secretion system (T3SS) and subsequent inflammasome activation through its interaction with the T3SS translocon?",Yes,PMID:20478539,Normal,Natural,Function,Human Diseases,Infectious disease: bacterial
"In human gastric carcinoma, is there a correlation between decreased expression of the cyclin-dependent kinase inhibitor p27Kip1 (p27) and the presence of lymphatic invasion, when considering the role of p27 in the progression and metastasis of gastric carcinoma as evaluated through immunohistochemical analysis of primary gastric carcinomas and lymph node metastases?",Yes,PMID:10692028,Normal,Natural,Function,Metabolism,Biosynthesis of other secondary metabolites
"In the context of Sonic hedgehog (Shh) signaling pathway activation, can the receptor Patched1 (Ptch1) be effectively cleared from the primary cilium in the absence of Smurf-mediated endocytic turnover mechanisms?",No,PMID:24925320,Normal,Natural,Function,Environmental Information Processing,Signal transduction
"In the context of efferocytosis, where macrophages clear apoptotic cells (ACs), is the phosphorylation and activation of extracellular signal-regulated kinase 1/2 (ERK1/2) by AC-activated CD36 sufficient on its own to induce the expression of prostaglandin-endoperoxide synthase 2/cyclooxygenase 2 (Ptgs2/COX2)?",No,PMID:35361955,Normal,Natural,Single,Cellular Processes,Transport and catabolism
"In the context of measles virus (MV) infection, does the binding of the MV V protein (MV-V) to interferon regulatory factor 7 (IRF7) result in an enhancement of IRF7 transcriptional activity?",No,PMID:18922877,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In cells expressing FAD-causing mutant presenilin (PS1-M146L), will the opening of the mitochondrial permeability transition pore (PTP) in high conductance state (PTPh) result in diminished levels of adenosine triphosphate (ATP)?",Yes,PMID:27184076,Normal,Natural,Single,Human Diseases,Neurodegenerative disease
"In the context of Epstein-Barr virus (EBV) infection, does the productive phase of the infection result in the attenuation of the expression of Toll-like receptors (TLRs) in host cells?",Yes,PMID:24586164,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of naphthalene metabolism, does the isomerase enzyme encoded by the nahD gene within plasmid NAH7 catalyze the conversion of 2-hydroxychromene-2-carboxylate (HCCA) to trans-o-hydroxybenzylidenepyruvate (tHBPA)?",Yes,PMID:1447127,Normal,Natural,Function,Metabolism,Xenobiotics biodegradation and metabolism
"In the context of Escherichia coli methionine metabolism, does the biotin sulfoxide reductase BisC exhibit reductase activity with free methionine-R-sulfoxide (Met-R-SO) as a substrate?",No,PMID:15601707,Normal,Natural,Single,Metabolism,Metabolism of cofactors and vitamins
